pickup_zip,dropoff_zip,distance_miles
24818,71675,642.5
71675,24818,642.5
24818,73945,1080.4
73945,24818,1080.4
24818,38326,411.0
38326,24818,411.0
24818,95608,2147.7
95608,24818,2147.7
24818,43788,152.1
43788,24818,152.1
24818,5667,666.3
5667,24818,666.3
24818,99036,1923.0
99036,24818,1923.0
24818,36322,496.7
36322,24818,496.7
24818,45336,241.6
45336,24818,241.6
24818,54470,689.7
54470,24818,689.7
24818,71658,634.0
71658,24818,634.0
24818,5048,634.7
5048,24818,634.7
24818,30663,297.0
30663,24818,297.0
24818,13163,489.8
13163,24818,489.8
24818,70049,732.1
70049,24818,732.1
24818,38079,441.6
38079,24818,441.6
24818,93723,2100.4
93723,24818,2100.4
24818,60510,460.5
60510,24818,460.5
24818,52583,656.4
52583,24818,656.4
24818,20204,265.7
20204,24818,265.7
24818,14861,405.4
14861,24818,405.4
24818,44089,263.8
44089,24818,263.8
24818,85709,1702.9
85709,24818,1702.9
24818,32612,550.4
32612,24818,550.4
24818,32438,535.2
32438,24818,535.2
24818,16686,278.6
16686,24818,278.6
24818,57551,1123.4
57551,24818,1123.4
24818,65755,609.3
65755,24818,609.3
24818,99721,3336.1
99721,24818,3336.1
24818,89002,1842.3
89002,24818,1842.3
24818,21133,287.9
21133,24818,287.9
24818,70639,817.5
70639,24818,817.5
24818,78074,1118.0
78074,24818,1118.0
24818,95307,2142.5
95307,24818,2142.5
24818,24211,68.3
24211,24818,68.3
24818,5405,646.1
5405,24818,646.1
24818,3054,644.7
3054,24818,644.7
24818,20722,270.1
20722,24818,270.1
24818,11769,504.3
11769,24818,504.3
24818,94533,2188.4
94533,24818,2188.4
24818,78753,1045.3
78753,24818,1045.3
24818,53007,509.4
53007,24818,509.4
24818,68601,881.8
68601,24818,881.8
24818,8008,423.6
8008,24818,423.6
24818,77080,962.4
77080,24818,962.4
24818,51460,803.3
51460,24818,803.3
24818,75791,855.6
75791,24818,855.6
24818,54420,663.3
54420,24818,663.3
24818,62560,448.2
62560,24818,448.2
24818,95817,2155.5
95817,24818,2155.5
24818,17037,298.1
17037,24818,298.1
24818,54304,581.9
54304,24818,581.9
24818,48601,417.2
48601,24818,417.2
24818,59762,1712.9
59762,24818,1712.9
24818,37726,202.7
37726,24818,202.7
24818,46156,245.8
46156,24818,245.8
24818,61875,405.0
61875,24818,405.0
24818,90280,2057.0
90280,24818,2057.0
24818,24087,80.1
24087,24818,80.1
24818,38504,191.4
38504,24818,191.4
24818,41049,119.7
41049,24818,119.7
24818,50441,707.7
50441,24818,707.7
24818,71720,672.7
71720,24818,672.7
24818,71079,709.1
71079,24818,709.1
24818,68959,949.5
68959,24818,949.5
24818,55430,794.6
55430,24818,794.6
24818,20723,278.9
20723,24818,278.9
24818,23175,274.2
23175,24818,274.2
24818,42326,297.3
42326,24818,297.3
24818,49872,644.9
49872,24818,644.9
24818,62621,503.2
62621,24818,503.2
24818,37616,113.9
37616,24818,113.9
57233,18503,1118.9
18503,57233,1118.9
57233,47454,701.2
47454,57233,701.2
57233,37385,941.3
37385,57233,941.3
57233,35640,890.1
35640,57233,890.1
57233,34747,1417.2
34747,57233,1417.2
57233,35750,873.5
35750,57233,873.5
57233,50007,267.8
50007,57233,267.8
57233,59910,837.7
59910,57233,837.7
57233,27814,1250.9
27814,57233,1250.9
57233,55305,197.6
55305,57233,197.6
57233,54858,251.7
54858,57233,251.7
57233,7029,1208.7
7029,57233,1208.7
57233,64625,377.1
64625,57233,377.1
57233,11368,1223.4
11368,57233,1223.4
57233,25203,921.6
25203,57233,921.6
57233,49240,682.2
49240,57233,682.2
